sample_id,dataset_name,source_id,json_path,video_base,video_path,view,start_sec,end_sec,label,korean_text,category,realm,thema,detailThema,video_exists
nikl_VXPAKOKS240779290_004,nikl,VXPAKOKS240779290,data\raw\labels\VXPAKOKS240779290.json,VXPAKOKS240779290,data\raw\videos\VXPAKOKS240779290R.mp4,right,5.155,5.298,무엇1,사회복지에 어떤 연유로 관심을 가지게 된 것이야?,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779300_000,nikl,VXPAKOKS240779300,data\raw\labels\VXPAKOKS240779300.json,VXPAKOKS240779300,data\raw\videos\VXPAKOKS240779300R.mp4,right,1.417,1.569,지시2,나는 고등학교 때부터 뉴스 보는 걸 좋아했는데 뉴스 주제가 복지에 관한 것들이었어.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779310_001,nikl,VXPAKOKS240779310,data\raw\labels\VXPAKOKS240779310.json,VXPAKOKS240779310,data\raw\videos\VXPAKOKS240779310R.mp4,right,2.491,2.741,지시1,내가 다시 수능을 본다면 공대로 들어가고 싶어.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779310_010,nikl,VXPAKOKS240779310,data\raw\labels\VXPAKOKS240779310.json,VXPAKOKS240779310,data\raw\videos\VXPAKOKS240779310R.mp4,right,7.195,7.378,원하다1,내가 다시 수능을 본다면 공대로 들어가고 싶어.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779320_002,nikl,VXPAKOKS240779320,data\raw\labels\VXPAKOKS240779320.json,VXPAKOKS240779320,data\raw\videos\VXPAKOKS240779320R.mp4,right,2.92,3.048,일하다1,공대는 취업도 잘 되고 전망이 좋잖아?,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779320_007,nikl,VXPAKOKS240779320,data\raw\labels\VXPAKOKS240779320.json,VXPAKOKS240779320,data\raw\videos\VXPAKOKS240779320R.mp4,right,5.343,5.516,좋다1,공대는 취업도 잘 되고 전망이 좋잖아?,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779320_008,nikl,VXPAKOKS240779320,data\raw\labels\VXPAKOKS240779320.json,VXPAKOKS240779320,data\raw\videos\VXPAKOKS240779320R.mp4,right,5.66,5.944,맞다4,공대는 취업도 잘 되고 전망이 좋잖아?,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779330_000,nikl,VXPAKOKS240779330,data\raw\labels\VXPAKOKS240779330.json,VXPAKOKS240779330,data\raw\videos\VXPAKOKS240779330R.mp4,right,1.712,1.795,지시1#,혹시 용접 해 봤니?,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779340_002,nikl,VXPAKOKS240779340,data\raw\labels\VXPAKOKS240779340.json,VXPAKOKS240779340,data\raw\videos\VXPAKOKS240779340R.mp4,right,2.771,3.233,일하다1,항공과 관련된 직업을 단기적으로 일을 해 본 적은 있어.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779340_005,nikl,VXPAKOKS240779340,data\raw\labels\VXPAKOKS240779340.json,VXPAKOKS240779340,data\raw\videos\VXPAKOKS240779340R.mp4,right,4.474,4.731,일하다1,항공과 관련된 직업을 단기적으로 일을 해 본 적은 있어.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779350_002,nikl,VXPAKOKS240779350,data\raw\labels\VXPAKOKS240779350.json,VXPAKOKS240779350,data\raw\videos\VXPAKOKS240779350R.mp4,right,2.56,2.678,일하다1,조종사분들이 일하는 모습을 보면서 직업에 대한 감명을 약간 얻은 거 같아.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779350_005,nikl,VXPAKOKS240779350,data\raw\labels\VXPAKOKS240779350.json,VXPAKOKS240779350,data\raw\videos\VXPAKOKS240779350R.mp4,right,4.23,4.864,일하다1,조종사분들이 일하는 모습을 보면서 직업에 대한 감명을 약간 얻은 거 같아.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779350_006,nikl,VXPAKOKS240779350,data\raw\labels\VXPAKOKS240779350.json,VXPAKOKS240779350,data\raw\videos\VXPAKOKS240779350R.mp4,right,5.071,5.329,무엇1,조종사분들이 일하는 모습을 보면서 직업에 대한 감명을 약간 얻은 거 같아.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779350_008,nikl,VXPAKOKS240779350,data\raw\labels\VXPAKOKS240779350.json,VXPAKOKS240779350,data\raw\videos\VXPAKOKS240779350R.mp4,right,6.726,6.893,느끼다1,조종사분들이 일하는 모습을 보면서 직업에 대한 감명을 약간 얻은 거 같아.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779350_010,nikl,VXPAKOKS240779350,data\raw\labels\VXPAKOKS240779350.json,VXPAKOKS240779350,data\raw\videos\VXPAKOKS240779350R.mp4,right,7.27,7.458,있다1,조종사분들이 일하는 모습을 보면서 직업에 대한 감명을 약간 얻은 거 같아.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779360_003,nikl,VXPAKOKS240779360,data\raw\labels\VXPAKOKS240779360.json,VXPAKOKS240779360,data\raw\videos\VXPAKOKS240779360R.mp4,right,2.824,2.955,때1,나중에 학기 중에 축제할 때 가 보자.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779370_000,nikl,VXPAKOKS240779370,data\raw\labels\VXPAKOKS240779370.json,VXPAKOKS240779370,data\raw\videos\VXPAKOKS240779370R.mp4,right,1.203,1.328,지시2,우리 학교는 축제 때 놀이보다는 먹는 음식을 주로 많이 팔더라고.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779370_003,nikl,VXPAKOKS240779370,data\raw\labels\VXPAKOKS240779370.json,VXPAKOKS240779370,data\raw\videos\VXPAKOKS240779370R.mp4,right,2.311,2.549,때1,우리 학교는 축제 때 놀이보다는 먹는 음식을 주로 많이 팔더라고.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779370_006,nikl,VXPAKOKS240779370,data\raw\labels\VXPAKOKS240779370.json,VXPAKOKS240779370,data\raw\videos\VXPAKOKS240779370R.mp4,right,3.998,4.526,먹다1,우리 학교는 축제 때 놀이보다는 먹는 음식을 주로 많이 팔더라고.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779370_009,nikl,VXPAKOKS240779370,data\raw\labels\VXPAKOKS240779370.json,VXPAKOKS240779370,data\raw\videos\VXPAKOKS240779370R.mp4,right,5.95,6.136,많다1,우리 학교는 축제 때 놀이보다는 먹는 음식을 주로 많이 팔더라고.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779380_002,nikl,VXPAKOKS240779380,data\raw\labels\VXPAKOKS240779380.json,VXPAKOKS240779380,data\raw\videos\VXPAKOKS240779380R.mp4,right,5.48,5.611,지시1#,내가 낸 학생회비가 어떻게 쓰이는지 궁금했어.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779390_000,nikl,VXPAKOKS240779390,data\raw\labels\VXPAKOKS240779390.json,VXPAKOKS240779390,data\raw\videos\VXPAKOKS240779390R.mp4,right,1.384,1.701,지시1#,너희는 학생회비 잘 내니?,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779410_001,nikl,VXPAKOKS240779410,data\raw\labels\VXPAKOKS240779410.json,VXPAKOKS240779410,data\raw\videos\VXPAKOKS240779410R.mp4,right,3.017,3.12,지시1,주변 내 친구들은 다이어트 하는데 난 다이어트에 관심 없어.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779410_005,nikl,VXPAKOKS240779410,data\raw\labels\VXPAKOKS240779410.json,VXPAKOKS240779410,data\raw\videos\VXPAKOKS240779410R.mp4,right,6.245,6.421,지시1,주변 내 친구들은 다이어트 하는데 난 다이어트에 관심 없어.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779410_009,nikl,VXPAKOKS240779410,data\raw\labels\VXPAKOKS240779410.json,VXPAKOKS240779410,data\raw\videos\VXPAKOKS240779410R.mp4,right,7.751,7.888,없다1,주변 내 친구들은 다이어트 하는데 난 다이어트에 관심 없어.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779430_000,nikl,VXPAKOKS240779430,data\raw\labels\VXPAKOKS240779430.json,VXPAKOKS240779430,data\raw\videos\VXPAKOKS240779430R.mp4,right,1.684,1.79,지시1,나는 헬스장을 끊어 놓고 1달에 두 번씩 가.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779430_007,nikl,VXPAKOKS240779430,data\raw\labels\VXPAKOKS240779430.json,VXPAKOKS240779430,data\raw\videos\VXPAKOKS240779430R.mp4,right,5.825,6.087,가다1,나는 헬스장을 끊어 놓고 1달에 두 번씩 가.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779440_001,nikl,VXPAKOKS240779440,data\raw\labels\VXPAKOKS240779440.json,VXPAKOKS240779440,data\raw\videos\VXPAKOKS240779440R.mp4,right,1.791,1.941,곳1,헬스장을 가면 몇 시간 동안 운동하니?,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779450_000,nikl,VXPAKOKS240779450,data\raw\labels\VXPAKOKS240779450.json,VXPAKOKS240779450,data\raw\videos\VXPAKOKS240779450R.mp4,right,1.348,1.464,지시1,내가 옛날에는 웨이트 트레이닝을 위주로 했는데 요즘은 유산소 운동을 위주로 하고 있어.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779460_004,nikl,VXPAKOKS240779460,data\raw\labels\VXPAKOKS240779460.json,VXPAKOKS240779460,data\raw\videos\VXPAKOKS240779460R.mp4,right,4.026,4.243,무엇1,요가는 어떤 식으로 진행하는 거야?,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779470_003,nikl,VXPAKOKS240779470,data\raw\labels\VXPAKOKS240779470.json,VXPAKOKS240779470,data\raw\videos\VXPAKOKS240779470R.mp4,right,5.368,5.553,많다1,요가는 몸을 많이 구부려야 해.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779470_005,nikl,VXPAKOKS240779470,data\raw\labels\VXPAKOKS240779470.json,VXPAKOKS240779470,data\raw\videos\VXPAKOKS240779470R.mp4,right,3.877,5.183,구형1,요가는 몸을 많이 구부려야 해.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779490_003,nikl,VXPAKOKS240779490,data\raw\labels\VXPAKOKS240779490.json,VXPAKOKS240779490,data\raw\videos\VXPAKOKS240779490R.mp4,right,4.141,4.37,무엇1,요가의 가장 이로운 효과가 뭐야?,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779500_000,nikl,VXPAKOKS240779500,data\raw\labels\VXPAKOKS240779500.json,VXPAKOKS240779500,data\raw\videos\VXPAKOKS240779500R.mp4,right,1.565,1.663,지시2,나는 근육을 키우고 싶은데 근육이 잘 안 생겨서 고민이야.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779500_002,nikl,VXPAKOKS240779500,data\raw\labels\VXPAKOKS240779500.json,VXPAKOKS240779500,data\raw\videos\VXPAKOKS240779500R.mp4,right,3.551,3.879,원하다1,나는 근육을 키우고 싶은데 근육이 잘 안 생겨서 고민이야.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779510_003,nikl,VXPAKOKS240779510,data\raw\labels\VXPAKOKS240779510.json,VXPAKOKS240779510,data\raw\videos\VXPAKOKS240779510R.mp4,right,3.734,3.937,곳1,혹시 요가원에서도 싸우는 사람 있니?,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779510_006,nikl,VXPAKOKS240779510,data\raw\labels\VXPAKOKS240779510.json,VXPAKOKS240779510,data\raw\videos\VXPAKOKS240779510R.mp4,right,5.052,5.329,있다1,혹시 요가원에서도 싸우는 사람 있니?,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779520_000,nikl,VXPAKOKS240779520,data\raw\labels\VXPAKOKS240779520.json,VXPAKOKS240779520,data\raw\videos\VXPAKOKS240779520R.mp4,right,1.542,1.647,지시1,나는 정말 운이 좋게도 우리 아파트에 헬스장이 있어.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779520_003,nikl,VXPAKOKS240779520,data\raw\labels\VXPAKOKS240779520.json,VXPAKOKS240779520,data\raw\videos\VXPAKOKS240779520R.mp4,right,2.953,3.114,곳1,나는 정말 운이 좋게도 우리 아파트에 헬스장이 있어.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779520_004,nikl,VXPAKOKS240779520,data\raw\labels\VXPAKOKS240779520.json,VXPAKOKS240779520,data\raw\videos\VXPAKOKS240779520R.mp4,right,3.362,3.522,있다1,나는 정말 운이 좋게도 우리 아파트에 헬스장이 있어.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779520_006,nikl,VXPAKOKS240779520,data\raw\labels\VXPAKOKS240779520.json,VXPAKOKS240779520,data\raw\videos\VXPAKOKS240779520R.mp4,right,4.336,4.519,좋다1,나는 정말 운이 좋게도 우리 아파트에 헬스장이 있어.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779530_002,nikl,VXPAKOKS240779530,data\raw\labels\VXPAKOKS240779530.json,VXPAKOKS240779530,data\raw\videos\VXPAKOKS240779530R.mp4,right,2.673,2.98,곳1,아파트 헬스장은 샤워실이 없어서 사설 헬스장을 이용해.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779530_005,nikl,VXPAKOKS240779530,data\raw\labels\VXPAKOKS240779530.json,VXPAKOKS240779530,data\raw\videos\VXPAKOKS240779530R.mp4,right,3.924,4.044,곳1,아파트 헬스장은 샤워실이 없어서 사설 헬스장을 이용해.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779530_006,nikl,VXPAKOKS240779530,data\raw\labels\VXPAKOKS240779530.json,VXPAKOKS240779530,data\raw\videos\VXPAKOKS240779530R.mp4,right,4.306,4.919,없다1,아파트 헬스장은 샤워실이 없어서 사설 헬스장을 이용해.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779530_010,nikl,VXPAKOKS240779530,data\raw\labels\VXPAKOKS240779530.json,VXPAKOKS240779530,data\raw\videos\VXPAKOKS240779530R.mp4,right,7.405,7.564,곳1,아파트 헬스장은 샤워실이 없어서 사설 헬스장을 이용해.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779530_011,nikl,VXPAKOKS240779530,data\raw\labels\VXPAKOKS240779530.json,VXPAKOKS240779530,data\raw\videos\VXPAKOKS240779530R.mp4,right,7.745,8.041,방문2,아파트 헬스장은 샤워실이 없어서 사설 헬스장을 이용해.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779540_001,nikl,VXPAKOKS240779540,data\raw\labels\VXPAKOKS240779540.json,VXPAKOKS240779540,data\raw\videos\VXPAKOKS240779540R.mp4,right,2.31,2.415,곳1,헬스장에서 운동하다가 땀 냄새 많이 나는 사람 본 적 있어?,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779540_003,nikl,VXPAKOKS240779540,data\raw\labels\VXPAKOKS240779540.json,VXPAKOKS240779540,data\raw\videos\VXPAKOKS240779540R.mp4,right,4.361,4.557,구형1,헬스장에서 운동하다가 땀 냄새 많이 나는 사람 본 적 있어?,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779550_001,nikl,VXPAKOKS240779550,data\raw\labels\VXPAKOKS240779550.json,VXPAKOKS240779550,data\raw\videos\VXPAKOKS240779550R.mp4,right,2.803,3.884,오늘1,혹시 최근에 여행 가고 싶은 사람 있어?,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779550_002,nikl,VXPAKOKS240779550,data\raw\labels\VXPAKOKS240779550.json,VXPAKOKS240779550,data\raw\videos\VXPAKOKS240779550R.mp4,right,4.103,4.202,여행1,혹시 최근에 여행 가고 싶은 사람 있어?,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779550_003,nikl,VXPAKOKS240779550,data\raw\labels\VXPAKOKS240779550.json,VXPAKOKS240779550,data\raw\videos\VXPAKOKS240779550R.mp4,right,4.35,4.449,가다1,혹시 최근에 여행 가고 싶은 사람 있어?,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779550_004,nikl,VXPAKOKS240779550,data\raw\labels\VXPAKOKS240779550.json,VXPAKOKS240779550,data\raw\videos\VXPAKOKS240779550R.mp4,right,4.713,4.852,원하다1,혹시 최근에 여행 가고 싶은 사람 있어?,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779550_006,nikl,VXPAKOKS240779550,data\raw\labels\VXPAKOKS240779550.json,VXPAKOKS240779550,data\raw\videos\VXPAKOKS240779550R.mp4,right,5.403,5.678,있다1,혹시 최근에 여행 가고 싶은 사람 있어?,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779560_004,nikl,VXPAKOKS240779560,data\raw\labels\VXPAKOKS240779560.json,VXPAKOKS240779560,data\raw\videos\VXPAKOKS240779560R.mp4,right,3.791,4.15,없다1,자연 경관에는 별로 관심 없니?,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779570_000,nikl,VXPAKOKS240779570,data\raw\labels\VXPAKOKS240779570.json,VXPAKOKS240779570,data\raw\videos\VXPAKOKS240779570R.mp4,right,1.524,1.63,지시1,나도 사막 투어를 갔었는데 이상한 차도 타고 사막에서 미끄럼틀도 타고 재밌었는데 바람이 너무 많이 불어서 3년 치 모래를 다 먹고 왔어.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779570_001,nikl,VXPAKOKS240779570,data\raw\labels\VXPAKOKS240779570.json,VXPAKOKS240779570,data\raw\videos\VXPAKOKS240779570R.mp4,right,1.77,2.027,너나같다1,나도 사막 투어를 갔었는데 이상한 차도 타고 사막에서 미끄럼틀도 타고 재밌었는데 바람이 너무 많이 불어서 3년 치 모래를 다 먹고 왔어.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779570_003,nikl,VXPAKOKS240779570,data\raw\labels\VXPAKOKS240779570.json,VXPAKOKS240779570,data\raw\videos\VXPAKOKS240779570R.mp4,right,2.68,3.293,구형1,나도 사막 투어를 갔었는데 이상한 차도 타고 사막에서 미끄럼틀도 타고 재밌었는데 바람이 너무 많이 불어서 3년 치 모래를 다 먹고 왔어.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779570_004,nikl,VXPAKOKS240779570,data\raw\labels\VXPAKOKS240779570.json,VXPAKOKS240779570,data\raw\videos\VXPAKOKS240779570R.mp4,right,3.428,3.669,여행1,나도 사막 투어를 갔었는데 이상한 차도 타고 사막에서 미끄럼틀도 타고 재밌었는데 바람이 너무 많이 불어서 3년 치 모래를 다 먹고 왔어.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779580_003,nikl,VXPAKOKS240779580,data\raw\labels\VXPAKOKS240779580.json,VXPAKOKS240779580,data\raw\videos\VXPAKOKS240779580R.mp4,right,3.341,3.773,원하다1,패딩을 하나 구매하고 싶긴 해.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779590_001,nikl,VXPAKOKS240779590,data\raw\labels\VXPAKOKS240779590.json,VXPAKOKS240779590,data\raw\videos\VXPAKOKS240779590R.mp4,right,2.427,2.69,등수:1등,지금 쓰는 핸드폰은 충전을 하면은 작동 시간도 오래가고 터치 오작동도 발생하지 않고 최근에 가장 만족스러웠던 물건들 중에 하난 거 같아.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779590_006,nikl,VXPAKOKS240779590,data\raw\labels\VXPAKOKS240779590.json,VXPAKOKS240779590,data\raw\videos\VXPAKOKS240779590R.mp4,right,5.564,5.715,오늘1,지금 쓰는 핸드폰은 충전을 하면은 작동 시간도 오래가고 터치 오작동도 발생하지 않고 최근에 가장 만족스러웠던 물건들 중에 하난 거 같아.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779590_015,nikl,VXPAKOKS240779590,data\raw\labels\VXPAKOKS240779590.json,VXPAKOKS240779590,data\raw\videos\VXPAKOKS240779590R.mp4,right,11.662,11.843,없다1,지금 쓰는 핸드폰은 충전을 하면은 작동 시간도 오래가고 터치 오작동도 발생하지 않고 최근에 가장 만족스러웠던 물건들 중에 하난 거 같아.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779600_000,nikl,VXPAKOKS240779600,data\raw\labels\VXPAKOKS240779600.json,VXPAKOKS240779600,data\raw\videos\VXPAKOKS240779600R.mp4,right,1.422,1.523,지시1#,네가 잘 만들 수 있는 음식이 뭐가 있어?,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779600_003,nikl,VXPAKOKS240779600,data\raw\labels\VXPAKOKS240779600.json,VXPAKOKS240779600,data\raw\videos\VXPAKOKS240779600R.mp4,right,2.544,2.794,무엇1,네가 잘 만들 수 있는 음식이 뭐가 있어?,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779610_000,nikl,VXPAKOKS240779610,data\raw\labels\VXPAKOKS240779610.json,VXPAKOKS240779610,data\raw\videos\VXPAKOKS240779610R.mp4,right,1.48,1.679,지시1#,너는 혹시 뱃멀미 같은 거는 없어?,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
